GT,prediction
ANG,ANG
DIS,NEU
FEA,HAP
HAP,HAP
NEU,HAP
SAD,NEU
ANG,ANG
ANG,HAP
ANG,NEU
DIS,HAP
DIS,NEU
DIS,HAP
FEA,ANG
FEA,HAP
FEA,HAP
HAP,ANG
HAP,HAP
HAP,HAP
NEU,NEU
SAD,NEU
SAD,NEU
SAD,HAP
ANG,FEA
DIS,SAD
FEA,HAP
HAP,HAP
NEU,FEA
SAD,NEU
ANG,ANG
DIS,NEU
FEA,ANG
HAP,FEA
NEU,DIS
SAD,SAD
ANG,ANG
DIS,HAP
FEA,ANG
HAP,HAP
NEU,NEU
SAD,FEA
ANG,ANG
DIS,ANG
FEA,HAP
HAP,HAP
NEU,NEU
SAD,FEA
ANG,NEU
DIS,NEU
FEA,HAP
HAP,HAP
NEU,NEU
SAD,NEU
ANG,ANG
DIS,NEU
FEA,ANG
HAP,ANG
NEU,NEU
SAD,NEU
ANG,HAP
DIS,DIS
FEA,HAP
HAP,HAP
NEU,NEU
SAD,SAD
ANG,ANG
DIS,HAP
FEA,HAP
HAP,HAP
NEU,SAD
SAD,DIS
ANG,ANG
DIS,ANG
FEA,FEA
HAP,HAP
NEU,FEA
SAD,FEA
ANG,ANG
DIS,NEU
FEA,ANG
HAP,ANG
NEU,ANG
SAD,ANG
ANG,ANG
DIS,DIS
FEA,FEA
HAP,DIS
NEU,DIS
SAD,FEA
ANG,ANG
ANG,HAP
ANG,ANG
DIS,SAD
DIS,DIS
DIS,DIS
FEA,SAD
FEA,FEA
FEA,SAD
HAP,ANG
HAP,SAD
HAP,HAP
NEU,SAD
SAD,FEA
SAD,FEA
SAD,SAD
ANG,ANG
DIS,SAD
FEA,SAD
HAP,FEA
NEU,SAD
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,FEA
NEU,DIS
SAD,DIS
ANG,ANG
DIS,DIS
FEA,FEA
HAP,DIS
NEU,NEU
SAD,SAD
ANG,ANG
DIS,HAP
FEA,FEA
HAP,DIS
NEU,DIS
SAD,DIS
ANG,ANG
DIS,DIS
FEA,FEA
HAP,DIS
NEU,FEA
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,DIS
NEU,NEU
SAD,SAD
ANG,DIS
DIS,DIS
FEA,FEA
HAP,FEA
NEU,DIS
SAD,DIS
ANG,ANG
DIS,DIS
FEA,FEA
HAP,ANG
NEU,SAD
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,DIS
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,ANG
NEU,DIS
SAD,FEA
ANG,NEU
DIS,NEU
FEA,NEU
HAP,HAP
NEU,ANG
SAD,NEU
ANG,ANG
ANG,HAP
ANG,FEA
DIS,DIS
DIS,SAD
DIS,SAD
FEA,SAD
FEA,SAD
FEA,SAD
HAP,HAP
HAP,SAD
HAP,SAD
NEU,HAP
SAD,SAD
SAD,NEU
SAD,SAD
ANG,DIS
DIS,DIS
FEA,SAD
HAP,NEU
NEU,NEU
SAD,SAD
ANG,DIS
DIS,DIS
FEA,SAD
HAP,NEU
NEU,NEU
SAD,NEU
ANG,SAD
DIS,SAD
FEA,NEU
HAP,HAP
NEU,NEU
SAD,NEU
ANG,HAP
DIS,SAD
FEA,HAP
HAP,NEU
NEU,NEU
SAD,NEU
ANG,NEU
DIS,SAD
HAP,NEU
NEU,NEU
SAD,SAD
ANG,ANG
DIS,SAD
FEA,SAD
HAP,NEU
NEU,NEU
SAD,DIS
ANG,NEU
DIS,ANG
FEA,HAP
HAP,NEU
NEU,SAD
SAD,NEU
ANG,SAD
DIS,DIS
FEA,DIS
HAP,NEU
NEU,NEU
SAD,SAD
ANG,DIS
DIS,DIS
FEA,HAP
HAP,HAP
NEU,HAP
SAD,NEU
ANG,ANG
DIS,HAP
FEA,FEA
HAP,HAP
NEU,NEU
SAD,NEU
ANG,ANG
DIS,NEU
FEA,NEU
HAP,NEU
NEU,NEU
SAD,SAD
ANG,ANG
ANG,NEU
ANG,ANG
DIS,ANG
DIS,FEA
DIS,HAP
FEA,FEA
FEA,NEU
FEA,DIS
HAP,ANG
HAP,HAP
HAP,NEU
NEU,NEU
