GT,prediction
backward,zero
backward,one
backward,one
backward,yes
backward,nine
backward,yes
backward,yes
backward,stop
backward,right
backward,eight
backward,seven
backward,two
backward,backward
backward,eight
backward,forward
backward,zero
backward,backward
backward,backward
backward,three
backward,backward
backward,backward
backward,no
backward,on
backward,yes
backward,three
backward,on
backward,stop
backward,two
backward,zero
backward,zero
backward,zero
backward,up
backward,seven
backward,go
backward,yes
backward,seven
backward,seven
backward,zero
backward,go
backward,stop
backward,off
backward,stop
backward,two
backward,up
backward,forward
backward,up
backward,two
backward,yes
backward,six
backward,backward
backward,backward
backward,six
backward,eight
backward,nine
backward,forward
backward,eight
backward,zero
backward,backward
backward,left
backward,right
backward,up
backward,nine
backward,nine
backward,backward
backward,nine
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,no
backward,one
backward,one
backward,two
backward,on
backward,backward
backward,eight
backward,stop
backward,stop
backward,off
backward,backward
backward,stop
backward,right
backward,two
backward,left
backward,yes
backward,backward
backward,left
backward,backward
backward,left
backward,backward
backward,stop
backward,left
backward,visual
backward,yes
backward,zero
backward,left
backward,up
backward,visual
backward,eight
backward,backward
backward,backward
backward,backward
backward,eight
backward,backward
backward,backward
backward,eight
backward,visual
backward,backward
backward,seven
backward,backward
backward,stop
backward,backward
backward,right
backward,nine
backward,eight
backward,eight
backward,follow
backward,backward
backward,seven
backward,backward
backward,right
backward,zero
backward,down
backward,visual
backward,seven
backward,seven
backward,seven
backward,six
backward,seven
backward,five
backward,seven
backward,seven
backward,zero
backward,one
backward,seven
backward,forward
backward,backward
backward,forward
backward,eight
backward,backward
backward,left
backward,eight
backward,left
backward,backward
backward,backward
backward,backward
backward,off
backward,go
backward,backward
backward,up
backward,backward
backward,backward
backward,backward
backward,seven
backward,yes
backward,off
backward,left
backward,right
backward,backward
backward,backward
backward,zero
backward,backward
backward,backward
bed,wow
bed,yes
bed,bird
bed,on
bed,go
bed,seven
bed,seven
bed,eight
bed,four
bed,cat
bed,six
bed,up
bed,one
bed,five
bed,zero
bed,bird
bed,eight
bed,off
bed,seven
bed,up
bed,house
bed,zero
bed,stop
bed,zero
bed,eight
bed,cat
bed,cat
bed,up
bed,seven
bed,nine
bed,up
bed,eight
bed,up
bed,go
bed,up
bed,two
bed,eight
bed,eight
bed,up
bed,two
bed,yes
bed,sheila
bed,happy
bed,up
bed,up
bed,eight
bed,two
bed,cat
bed,dog
bed,wow
bed,tree
bed,zero
bed,one
bed,two
bed,go
bed,up
bed,go
bed,no
bed,stop
bed,one
bed,six
bed,zero
bed,seven
bed,seven
bed,six
bed,cat
bed,stop
bed,stop
bed,off
bed,dog
bed,down
bed,stop
bed,nine
bed,eight
bed,go
bed,seven
bed,go
bed,nine
bed,no
bed,no
bed,marvin
bed,two
bed,eight
bed,zero
bed,four
bed,on
bed,go
bed,zero
bed,eight
bed,two
bed,marvin
bed,stop
bed,off
bed,go
bed,on
bed,no
bed,two
bed,bed
bed,eight
bed,six
bed,eight
bed,eight
bed,up
bed,down
bed,up
bed,up
bed,no
bed,bird
bed,up
bed,down
bed,eight
bed,up
bed,left
bed,down
bed,yes
bed,stop
bed,on
bed,dog
bed,one
bed,on
bed,four
bed,five
bed,up
bed,marvin
bed,bird
bed,bird
bed,yes
bed,up
bed,one
bed,down
bed,nine
bed,zero
bed,left
bed,bed
bed,visual
bed,off
bed,bird
bed,stop
bed,up
bed,eight
bed,zero
bed,left
bed,eight
bed,nine
bed,left
bed,down
bed,yes
bed,bird
bed,marvin
bed,marvin
bed,right
bed,up
bed,stop
bed,up
bed,eight
bed,sheila
bed,bird
bed,bed
bed,dog
bed,off
bed,down
bed,up
bed,up
bed,down
bed,four
bed,down
bed,bed
bed,bed
bed,five
bed,four
bed,dog
bed,off
bed,left
bed,happy
bed,bed
bed,one
bed,eight
bed,eight
bed,down
bed,down
bed,tree
bed,up
bed,eight
bed,up
bed,up
bed,stop
bed,yes
bed,no
bed,right
bed,on
bed,one
bed,eight
bed,up
bed,two
bed,bed
bed,two
bed,on
bed,eight
bed,one
bed,up
bed,wow
bed,down
bed,eight
bed,two
bed,up
bed,two
bed,go
bird,nine
bird,eight
bird,wow
bird,left
bird,no
bird,marvin
bird,go
bird,bird
bird,eight
bird,bird
bird,bird
bird,down
bird,cat
bird,zero
bird,tree
bird,eight
bird,nine
bird,bird
bird,bird
bird,six
bird,no
bird,off
bird,one
bird,right
bird,two
bird,on
bird,bird
bird,seven
bird,bird
bird,no
bird,bird
bird,no
bird,one
bird,off
bird,house
bird,sheila
bird,five
bird,marvin
bird,down
bird,nine
bird,one
bird,go
bird,no
bird,up
bird,go
bird,go
bird,two
bird,yes
bird,eight
bird,three
bird,down
bird,eight
bird,up
bird,two
bird,eight
bird,house
bird,yes
bird,four
bird,happy
bird,eight
bird,bed
bird,six
bird,seven
bird,on
bird,forward
bird,down
bird,down
bird,stop
bird,two
bird,backward
bird,go
bird,five
bird,nine
bird,eight
bird,nine
bird,five
bird,five
bird,five
bird,four
bird,marvin
bird,two
bird,one
bird,two
bird,one
