GT,prediction
backward,zero
backward,one
backward,one
backward,yes
backward,nine
backward,left
backward,right
backward,stop
backward,right
backward,eight
backward,seven
backward,two
backward,backward
backward,eight
backward,backward
backward,backward
backward,backward
backward,backward
backward,eight
backward,backward
backward,backward
backward,visual
backward,on
backward,yes
backward,two
backward,two
backward,stop
backward,two
backward,zero
backward,zero
backward,zero
backward,up
backward,backward
backward,one
backward,yes
backward,seven
backward,seven
backward,zero
backward,learn
backward,stop
backward,off
backward,up
backward,two
backward,up
backward,backward
backward,up
backward,eight
backward,four
backward,six
backward,backward
backward,backward
backward,backward
backward,eight
backward,zero
backward,forward
backward,eight
backward,marvin
backward,backward
backward,left
backward,right
backward,up
backward,nine
backward,nine
backward,backward
backward,nine
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,two
backward,backward
backward,backward
backward,eight
backward,stop
backward,stop
backward,off
backward,backward
backward,eight
backward,three
backward,eight
backward,left
backward,yes
backward,backward
backward,left
backward,backward
backward,left
backward,backward
backward,stop
backward,left
backward,zero
backward,yes
backward,zero
backward,go
backward,up
backward,two
backward,eight
backward,backward
backward,backward
backward,backward
backward,eight
backward,backward
backward,backward
backward,two
backward,backward
backward,six
backward,seven
backward,forward
backward,stop
backward,backward
backward,right
backward,nine
backward,eight
backward,eight
backward,backward
backward,backward
backward,seven
backward,backward
backward,right
backward,zero
backward,seven
backward,visual
backward,backward
backward,seven
backward,seven
backward,eight
backward,seven
backward,five
backward,seven
backward,seven
backward,zero
backward,one
backward,seven
backward,zero
backward,five
backward,forward
backward,eight
backward,backward
backward,right
backward,eight
backward,left
backward,backward
backward,backward
backward,backward
backward,off
backward,two
backward,backward
backward,up
backward,backward
backward,backward
backward,backward
backward,zero
backward,yes
backward,up
backward,seven
backward,left
backward,backward
backward,backward
backward,zero
backward,backward
backward,backward
bed,wow
bed,yes
bed,bird
bed,on
bed,go
bed,seven
bed,five
bed,eight
bed,no
bed,cat
bed,two
bed,up
bed,one
bed,bed
bed,bed
bed,down
bed,eight
bed,up
bed,seven
bed,up
bed,stop
bed,yes
bed,stop
bed,zero
bed,up
bed,cat
bed,cat
bed,up
bed,seven
bed,on
bed,up
bed,right
bed,up
bed,go
bed,up
bed,stop
bed,go
bed,eight
bed,up
bed,two
bed,left
bed,sheila
bed,two
bed,up
bed,up
bed,eight
bed,two
bed,cat
bed,dog
bed,dog
bed,tree
bed,zero
bed,one
bed,go
bed,go
bed,up
bed,go
bed,one
bed,stop
bed,two
bed,six
bed,three
bed,cat
bed,sheila
bed,six
bed,cat
bed,stop
bed,stop
bed,off
bed,dog
bed,nine
bed,two
bed,five
bed,stop
bed,go
bed,go
bed,go
bed,bird
bed,go
bed,go
bed,marvin
bed,two
bed,eight
bed,zero
bed,four
bed,on
bed,two
bed,zero
bed,eight
bed,on
bed,marvin
bed,stop
bed,off
bed,go
bed,on
bed,no
bed,bird
bed,bed
bed,eight
bed,six
bed,eight
bed,eight
bed,up
bed,on
bed,bed
bed,stop
bed,no
bed,bird
bed,up
bed,down
bed,backward
bed,up
bed,left
bed,nine
bed,yes
bed,stop
bed,eight
bed,dog
bed,one
bed,on
bed,four
bed,wow
bed,up
bed,bird
bed,bird
bed,bird
bed,yes
bed,up
bed,one
bed,nine
bed,nine
bed,zero
bed,right
bed,bed
bed,zero
bed,off
bed,bird
bed,stop
bed,up
bed,eight
bed,zero
bed,left
bed,stop
bed,nine
bed,left
bed,nine
bed,yes
bed,bird
bed,marvin
bed,marvin
bed,right
bed,up
bed,up
bed,up
bed,eight
bed,tree
bed,bird
bed,bed
bed,dog
bed,up
bed,down
bed,go
bed,up
bed,down
bed,four
bed,two
bed,down
bed,bed
bed,five
bed,four
bed,dog
bed,off
bed,left
bed,tree
bed,five
bed,down
bed,eight
bed,eight
bed,down
bed,down
bed,five
bed,two
bed,two
bed,up
bed,up
bed,left
bed,yes
bed,no
bed,one
bed,zero
bed,one
bed,eight
bed,two
bed,bed
bed,bed
bed,two
bed,five
bed,eight
bed,one
bed,no
bed,down
bed,down
bed,eight
bed,go
bed,up
bed,two
bed,no
bird,nine
bird,eight
bird,bird
bird,left
bird,no
bird,marvin
bird,go
bird,bird
bird,backward
bird,bird
bird,one
bird,go
bird,cat
bird,one
bird,tree
bird,eight
bird,nine
bird,bird
bird,bird
bird,six
bird,no
bird,off
bird,right
bird,right
bird,four
bird,on
bird,bird
bird,seven
bird,bird
bird,no
bird,bed
bird,one
bird,one
bird,house
bird,house
bird,sheila
bird,five
bird,bird
bird,nine
bird,nine
bird,up
bird,go
bird,go
bird,up
bird,nine
bird,up
bird,two
bird,yes
bird,eight
bird,three
bird,house
bird,eight
bird,bird
bird,two
bird,eight
bird,house
bird,yes
bird,four
bird,happy
bird,eight
bird,bed
bird,happy
bird,seven
bird,on
bird,forward
bird,down
bird,down
bird,stop
bird,two
bird,backward
bird,go
bird,five
bird,nine
bird,eight
bird,one
bird,five
bird,five
bird,five
bird,bird
bird,bird
bird,two
bird,go
bird,two
bird,go
