GT,prediction
ANG,ANG
DIS,NEU
FEA,HAP
HAP,HAP
NEU,HAP
SAD,SAD
ANG,ANG
ANG,HAP
ANG,NEU
DIS,HAP
DIS,SAD
DIS,HAP
FEA,HAP
FEA,HAP
FEA,HAP
HAP,ANG
HAP,HAP
HAP,HAP
NEU,NEU
SAD,HAP
SAD,SAD
SAD,SAD
ANG,FEA
DIS,SAD
FEA,ANG
HAP,HAP
NEU,FEA
SAD,NEU
ANG,ANG
DIS,SAD
FEA,ANG
HAP,HAP
NEU,DIS
SAD,SAD
ANG,ANG
DIS,HAP
FEA,HAP
HAP,ANG
NEU,HAP
SAD,FEA
ANG,ANG
DIS,SAD
FEA,HAP
HAP,HAP
NEU,DIS
SAD,FEA
ANG,ANG
DIS,FEA
FEA,HAP
HAP,HAP
NEU,NEU
SAD,NEU
ANG,ANG
DIS,NEU
FEA,ANG
HAP,ANG
NEU,NEU
SAD,SAD
ANG,HAP
DIS,DIS
FEA,HAP
HAP,FEA
NEU,NEU
SAD,SAD
ANG,NEU
DIS,ANG
FEA,ANG
HAP,ANG
NEU,NEU
SAD,FEA
ANG,ANG
DIS,ANG
FEA,HAP
HAP,HAP
NEU,FEA
SAD,FEA
ANG,ANG
DIS,DIS
FEA,ANG
HAP,ANG
NEU,FEA
SAD,ANG
ANG,ANG
DIS,DIS
FEA,FEA
HAP,DIS
NEU,DIS
SAD,FEA
ANG,ANG
ANG,HAP
ANG,ANG
DIS,SAD
DIS,DIS
DIS,DIS
FEA,SAD
FEA,FEA
FEA,FEA
HAP,ANG
HAP,SAD
HAP,DIS
NEU,SAD
SAD,FEA
SAD,SAD
SAD,SAD
ANG,ANG
DIS,SAD
FEA,SAD
HAP,FEA
NEU,SAD
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,SAD
NEU,DIS
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,DIS
NEU,NEU
SAD,SAD
ANG,ANG
DIS,NEU
FEA,FEA
HAP,HAP
NEU,DIS
SAD,DIS
ANG,HAP
DIS,DIS
FEA,FEA
HAP,DIS
NEU,FEA
SAD,SAD
ANG,DIS
DIS,SAD
FEA,FEA
HAP,SAD
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,FEA
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,ANG
NEU,SAD
SAD,SAD
ANG,ANG
DIS,DIS
FEA,DIS
HAP,SAD
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,ANG
NEU,DIS
SAD,FEA
ANG,NEU
DIS,NEU
FEA,NEU
HAP,HAP
NEU,ANG
SAD,NEU
ANG,ANG
ANG,HAP
ANG,FEA
DIS,DIS
DIS,SAD
DIS,SAD
FEA,SAD
FEA,NEU
FEA,SAD
HAP,HAP
HAP,HAP
HAP,HAP
NEU,NEU
SAD,SAD
SAD,NEU
SAD,SAD
ANG,DIS
DIS,DIS
FEA,SAD
HAP,NEU
NEU,NEU
SAD,SAD
ANG,DIS
DIS,DIS
FEA,SAD
HAP,NEU
NEU,NEU
SAD,NEU
ANG,SAD
DIS,SAD
FEA,NEU
HAP,HAP
NEU,NEU
SAD,NEU
ANG,HAP
DIS,SAD
FEA,HAP
HAP,HAP
NEU,NEU
SAD,NEU
ANG,SAD
DIS,SAD
HAP,HAP
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,SAD
HAP,HAP
NEU,DIS
SAD,DIS
ANG,NEU
DIS,DIS
FEA,HAP
HAP,NEU
NEU,SAD
SAD,HAP
ANG,SAD
DIS,DIS
FEA,DIS
HAP,SAD
NEU,DIS
SAD,SAD
ANG,DIS
DIS,DIS
FEA,HAP
HAP,ANG
NEU,ANG
SAD,SAD
ANG,ANG
DIS,HAP
FEA,FEA
HAP,ANG
NEU,NEU
SAD,NEU
ANG,ANG
DIS,NEU
FEA,NEU
HAP,NEU
NEU,NEU
SAD,SAD
ANG,ANG
ANG,HAP
ANG,ANG
DIS,ANG
DIS,SAD
DIS,HAP
FEA,FEA
FEA,NEU
FEA,DIS
HAP,ANG
HAP,HAP
HAP,NEU
NEU,NEU
