GT,prediction
blues,blues
blues,blues
blues,blues
blues,blues
blues,disco
blues,metal
blues,blues
blues,blues
blues,disco
blues,hiphop
blues,classical
blues,jazz
blues,disco
blues,blues
blues,hiphop
blues,classical
blues,blues
blues,hiphop
blues,country
blues,blues
blues,classical
blues,jazz
blues,hiphop
blues,jazz
blues,classical
blues,disco
blues,country
blues,classical
blues,country
blues,country
blues,country
classical,classical
classical,classical
classical,metal
classical,classical
classical,classical
classical,rock
classical,classical
classical,metal
classical,classical
classical,classical
classical,classical
classical,rock
classical,rock
classical,metal
classical,classical
classical,metal
classical,classical
classical,classical
classical,blues
classical,metal
classical,metal
classical,classical
classical,classical
classical,classical
classical,blues
classical,blues
classical,jazz
classical,classical
classical,classical
classical,classical
classical,pop
country,jazz
country,blues
country,country
country,hiphop
country,disco
country,pop
country,rock
country,country
country,jazz
country,reggae
country,disco
country,country
country,jazz
country,metal
country,blues
country,classical
country,country
country,rock
country,country
country,rock
country,rock
country,country
country,rock
country,rock
country,pop
country,disco
country,rock
country,country
country,reggae
country,disco
disco,blues
disco,disco
disco,disco
disco,reggae
disco,disco
disco,jazz
disco,reggae
disco,rock
disco,blues
disco,reggae
disco,blues
disco,disco
disco,reggae
disco,disco
disco,country
disco,blues
disco,country
disco,reggae
disco,disco
disco,country
disco,reggae
disco,reggae
disco,disco
disco,disco
disco,country
disco,jazz
disco,disco
disco,rock
disco,metal
hiphop,rock
hiphop,rock
hiphop,country
hiphop,hiphop
hiphop,metal
hiphop,country
hiphop,pop
hiphop,country
hiphop,disco
hiphop,hiphop
hiphop,reggae
hiphop,rock
hiphop,reggae
hiphop,reggae
hiphop,hiphop
hiphop,jazz
hiphop,disco
hiphop,reggae
hiphop,blues
hiphop,reggae
hiphop,hiphop
hiphop,reggae
hiphop,reggae
hiphop,disco
hiphop,reggae
hiphop,hiphop
hiphop,disco
jazz,classical
jazz,classical
jazz,jazz
jazz,rock
jazz,disco
jazz,jazz
jazz,disco
jazz,metal
jazz,metal
jazz,jazz
jazz,hiphop
jazz,jazz
jazz,jazz
jazz,disco
jazz,disco
jazz,rock
jazz,hiphop
jazz,hiphop
jazz,classical
jazz,pop
jazz,blues
jazz,country
jazz,blues
jazz,jazz
jazz,country
jazz,jazz
jazz,rock
metal,pop
metal,country
metal,metal
metal,blues
metal,disco
metal,metal
metal,metal
metal,metal
metal,blues
metal,reggae
metal,reggae
metal,pop
metal,disco
metal,metal
metal,classical
metal,disco
metal,classical
metal,metal
metal,disco
metal,reggae
metal,metal
metal,pop
metal,metal
metal,country
metal,disco
metal,metal
metal,rock
pop,pop
pop,disco
pop,reggae
pop,metal
pop,reggae
pop,country
pop,rock
pop,rock
pop,hiphop
pop,disco
pop,classical
pop,reggae
pop,rock
pop,classical
pop,hiphop
pop,reggae
pop,disco
pop,hiphop
pop,disco
pop,pop
pop,pop
pop,disco
pop,hiphop
pop,pop
pop,disco
pop,reggae
pop,rock
pop,pop
pop,disco
pop,pop
reggae,disco
reggae,disco
reggae,reggae
reggae,reggae
reggae,disco
reggae,disco
reggae,pop
reggae,country
reggae,pop
reggae,hiphop
reggae,hiphop
reggae,reggae
reggae,blues
reggae,blues
reggae,reggae
reggae,hiphop
reggae,reggae
reggae,reggae
reggae,disco
reggae,disco
reggae,hiphop
reggae,disco
reggae,jazz
reggae,rock
reggae,classical
reggae,blues
rock,disco
rock,pop
rock,rock
rock,hiphop
rock,disco
rock,rock
rock,hiphop
rock,hiphop
rock,blues
rock,metal
rock,metal
rock,reggae
rock,classical
rock,hiphop
rock,hiphop
rock,rock
rock,metal
rock,disco
rock,hiphop
rock,hiphop
rock,metal
rock,hiphop
rock,country
rock,rock
rock,disco
rock,hiphop
rock,pop
rock,country
rock,country
rock,hiphop
rock,disco
rock,hiphop
