GT,prediction
pig,pig
pig,laughing
pig,pig
pig,pig
pig,pig
pig,pig
siren,siren
siren,siren
siren,siren
pig,pig
wind,wind
pig,pig
siren,siren
siren,siren
washing_machine,washing_machine
brushing_teeth,brushing_teeth
siren,train
crying_baby,crying_baby
frog,frog
frog,frog
frog,frog
frog,crow
toilet_flush,toilet_flush
thunderstorm,thunderstorm
thunderstorm,thunderstorm
thunderstorm,thunderstorm
thunderstorm,thunderstorm
thunderstorm,thunderstorm
wind,wind
wind,wind
siren,siren
fireworks,fireworks
fireworks,fireworks
fireworks,fireworks
fireworks,fireworks
fireworks,fireworks
fireworks,fireworks
fireworks,fireworks
fireworks,fireworks
door_wood_creaks,door_wood_creaks
door_wood_creaks,door_wood_creaks
cat,cat
chainsaw,chainsaw
chainsaw,chainsaw
laughing,laughing
chainsaw,chainsaw
cat,cat
cat,cat
door_wood_creaks,door_wood_creaks
toilet_flush,toilet_flush
cat,cat
door_wood_creaks,door_wood_creaks
helicopter,washing_machine
helicopter,helicopter
helicopter,helicopter
helicopter,helicopter
helicopter,helicopter
coughing,coughing
church_bells,church_bells
wind,airplane
wind,wind
car_horn,car_horn
car_horn,car_horn
car_horn,car_horn
car_horn,car_horn
car_horn,car_horn
car_horn,car_horn
car_horn,car_horn
car_horn,car_horn
brushing_teeth,brushing_teeth
door_wood_creaks,door_wood_creaks
rain,rain
washing_machine,washing_machine
vacuum_cleaner,washing_machine
vacuum_cleaner,washing_machine
vacuum_cleaner,vacuum_cleaner
toilet_flush,toilet_flush
siren,siren
coughing,coughing
brushing_teeth,brushing_teeth
chainsaw,chainsaw
chainsaw,chainsaw
toilet_flush,toilet_flush
crackling_fire,crackling_fire
frog,frog
frog,frog
door_wood_creaks,door_wood_creaks
sneezing,sneezing
vacuum_cleaner,vacuum_cleaner
thunderstorm,thunderstorm
door_wood_creaks,door_wood_creaks
rain,rain
church_bells,church_bells
train,train
train,train
crackling_fire,crackling_fire
crackling_fire,crackling_fire
frog,frog
helicopter,airplane
door_wood_creaks,door_wood_creaks
thunderstorm,thunderstorm
rain,rain
crackling_fire,crackling_fire
crackling_fire,crackling_fire
sneezing,coughing
rain,rain
cow,cow
cow,cow
cow,cow
cow,cow
rooster,rooster
rooster,rooster
insects,insects
insects,insects
insects,insects
thunderstorm,thunderstorm
rain,rain
train,train
train,train
train,train
insects,insects
toilet_flush,toilet_flush
church_bells,church_bells
insects,insects
insects,insects
insects,insects
rain,rain
church_bells,church_bells
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,crying_baby
train,train
sheep,sheep
sheep,sheep
sheep,sheep
sheep,sheep
train,train
train,train
sheep,sheep
sheep,sheep
sheep,sheep
rooster,rooster
rooster,rooster
rooster,rooster
sea_waves,sea_waves
sea_waves,sea_waves
church_bells,church_bells
church_bells,church_bells
clock_tick,clock_tick
sneezing,sneezing
toilet_flush,toilet_flush
toilet_flush,toilet_flush
sneezing,sneezing
toilet_flush,toilet_flush
cow,cow
rain,rain
dog,dog
dog,dog
rain,rain
drinking_sipping,drinking_sipping
crickets,crickets
crickets,crickets
coughing,coughing
church_bells,church_bells
keyboard_typing,keyboard_typing
pouring_water,pouring_water
pouring_water,pouring_water
helicopter,washing_machine
coughing,coughing
pouring_water,pouring_water
washing_machine,washing_machine
washing_machine,washing_machine
drinking_sipping,drinking_sipping
drinking_sipping,drinking_sipping
drinking_sipping,drinking_sipping
drinking_sipping,drinking_sipping
dog,dog
clock_tick,clock_tick
coughing,coughing
sea_waves,sea_waves
sea_waves,sea_waves
clock_tick,clock_tick
coughing,coughing
clock_tick,clock_tick
clapping,clapping
engine,engine
engine,engine
crickets,crickets
clock_tick,clock_tick
clock_alarm,clock_alarm
coughing,coughing
clock_alarm,clock_alarm
brushing_teeth,brushing_teeth
vacuum_cleaner,vacuum_cleaner
vacuum_cleaner,vacuum_cleaner
clock_tick,clock_tick
dog,dog
pouring_water,pouring_water
pouring_water,pouring_water
pouring_water,pouring_water
sea_waves,wind
breathing,breathing
crackling_fire,washing_machine
crow,crow
crow,crow
crow,crow
crow,crow
dog,dog
pouring_water,pouring_water
cat,cat
cat,cat
crow,crow
keyboard_typing,keyboard_typing
crickets,crickets
crickets,crickets
airplane,airplane
airplane,airplane
airplane,airplane
pouring_water,pouring_water
crackling_fire,crackling_fire
crackling_fire,crackling_fire
keyboard_typing,keyboard_typing
crickets,crickets
crickets,crickets
crickets,crickets
snoring,snoring
chainsaw,chainsaw
chainsaw,chainsaw
dog,dog
wind,wind
wind,wind
wind,wind
brushing_teeth,brushing_teeth
brushing_teeth,brushing_teeth
clapping,clapping
door_wood_knock,door_wood_knock
door_wood_knock,door_wood_knock
church_bells,church_bells
clock_alarm,clock_alarm
clock_alarm,clock_alarm
mouse_click,mouse_click
clock_tick,clock_tick
sea_waves,sea_waves
sea_waves,sea_waves
sea_waves,sea_waves
sneezing,sneezing
sneezing,sneezing
brushing_teeth,brushing_teeth
helicopter,helicopter
sneezing,sneezing
glass_breaking,glass_breaking
glass_breaking,glass_breaking
clapping,clapping
clapping,clapping
sneezing,sneezing
can_opening,can_opening
clapping,clapping
crow,crow
chainsaw,engine
keyboard_typing,keyboard_typing
keyboard_typing,keyboard_typing
keyboard_typing,keyboard_typing
mouse_click,mouse_click
clock_alarm,clock_alarm
mouse_click,mouse_click
washing_machine,washing_machine
vacuum_cleaner,vacuum_cleaner
dog,dog
engine,engine
mouse_click,mouse_click
breathing,breathing
mouse_click,mouse_click
rooster,rooster
breathing,breathing
snoring,snoring
glass_breaking,glass_breaking
glass_breaking,glass_breaking
clock_alarm,clock_alarm
insects,insects
snoring,snoring
clock_alarm,clock_alarm
footsteps,footsteps
breathing,breathing
footsteps,footsteps
rooster,rooster
rooster,rooster
keyboard_typing,keyboard_typing
engine,engine
breathing,breathing
door_wood_knock,door_wood_knock
clock_tick,clock_tick
snoring,snoring
snoring,snoring
airplane,airplane
snoring,snoring
can_opening,can_opening
