GT,prediction
pig,cow
pig,coughing
pig,pig
pig,car_horn
pig,laughing
pig,pig
siren,chainsaw
siren,chainsaw
siren,chainsaw
pig,cow
wind,wind
pig,siren
siren,sea_waves
siren,rooster
washing_machine,washing_machine
brushing_teeth,brushing_teeth
siren,thunderstorm
crying_baby,dog
frog,chirping_birds
frog,crackling_fire
frog,crackling_fire
frog,crackling_fire
toilet_flush,toilet_flush
thunderstorm,toilet_flush
thunderstorm,thunderstorm
thunderstorm,thunderstorm
thunderstorm,door_wood_knock
thunderstorm,helicopter
wind,engine
wind,engine
siren,rain
fireworks,airplane
fireworks,keyboard_typing
fireworks,fireworks
fireworks,pig
fireworks,thunderstorm
fireworks,train
fireworks,rain
fireworks,frog
door_wood_creaks,crackling_fire
door_wood_creaks,washing_machine
cat,train
chainsaw,sheep
chainsaw,chainsaw
laughing,laughing
chainsaw,door_wood_knock
cat,brushing_teeth
cat,siren
door_wood_creaks,crow
toilet_flush,toilet_flush
cat,sneezing
door_wood_creaks,sneezing
helicopter,car_horn
helicopter,chainsaw
helicopter,chainsaw
helicopter,wind
helicopter,wind
coughing,coughing
church_bells,chirping_birds
wind,frog
wind,siren
car_horn,car_horn
car_horn,car_horn
car_horn,siren
car_horn,car_horn
car_horn,hen
car_horn,engine
car_horn,car_horn
car_horn,wind
brushing_teeth,brushing_teeth
door_wood_creaks,coughing
rain,vacuum_cleaner
washing_machine,toilet_flush
vacuum_cleaner,keyboard_typing
vacuum_cleaner,vacuum_cleaner
vacuum_cleaner,vacuum_cleaner
toilet_flush,toilet_flush
siren,siren
coughing,sneezing
brushing_teeth,frog
chainsaw,chainsaw
chainsaw,chainsaw
toilet_flush,toilet_flush
crackling_fire,wind
frog,frog
frog,frog
door_wood_creaks,crying_baby
sneezing,rooster
vacuum_cleaner,vacuum_cleaner
thunderstorm,thunderstorm
door_wood_creaks,sneezing
rain,rain
church_bells,church_bells
train,sea_waves
train,engine
crackling_fire,crackling_fire
crackling_fire,water_drops
frog,brushing_teeth
helicopter,helicopter
door_wood_creaks,dog
thunderstorm,thunderstorm
rain,train
crackling_fire,clock_tick
crackling_fire,chirping_birds
sneezing,sneezing
rain,rain
cow,drinking_sipping
cow,drinking_sipping
cow,drinking_sipping
cow,clapping
rooster,clock_tick
rooster,crying_baby
insects,insects
insects,cow
insects,cow
thunderstorm,drinking_sipping
rain,rain
train,glass_breaking
train,fireworks
train,train
insects,crackling_fire
toilet_flush,pig
church_bells,helicopter
insects,vacuum_cleaner
insects,insects
insects,vacuum_cleaner
rain,rain
church_bells,wind
crying_baby,crying_baby
crying_baby,siren
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,siren
crying_baby,crying_baby
crying_baby,laughing
train,train
sheep,thunderstorm
sheep,crying_baby
sheep,sheep
sheep,hen
train,wind
train,wind
sheep,cow
sheep,sheep
sheep,sheep
rooster,chainsaw
rooster,vacuum_cleaner
rooster,glass_breaking
sea_waves,sea_waves
sea_waves,sea_waves
church_bells,church_bells
church_bells,church_bells
clock_tick,brushing_teeth
sneezing,dog
toilet_flush,toilet_flush
toilet_flush,toilet_flush
sneezing,can_opening
toilet_flush,toilet_flush
cow,car_horn
rain,frog
dog,dog
dog,dog
rain,rain
drinking_sipping,laughing
crickets,clock_alarm
crickets,clock_alarm
coughing,coughing
church_bells,church_bells
keyboard_typing,thunderstorm
pouring_water,pouring_water
pouring_water,crow
helicopter,airplane
coughing,coughing
pouring_water,sneezing
washing_machine,washing_machine
washing_machine,wind
drinking_sipping,laughing
drinking_sipping,footsteps
drinking_sipping,clock_tick
drinking_sipping,snoring
dog,clapping
clock_tick,dog
coughing,pig
sea_waves,rain
sea_waves,sea_waves
clock_tick,water_drops
coughing,coughing
clock_tick,church_bells
clapping,brushing_teeth
engine,engine
engine,engine
crickets,crow
clock_tick,keyboard_typing
clock_alarm,keyboard_typing
coughing,coughing
clock_alarm,vacuum_cleaner
brushing_teeth,brushing_teeth
vacuum_cleaner,toilet_flush
vacuum_cleaner,toilet_flush
clock_tick,clock_tick
dog,crying_baby
pouring_water,snoring
pouring_water,pouring_water
pouring_water,mouse_click
sea_waves,crackling_fire
breathing,drinking_sipping
crackling_fire,train
crow,frog
crow,crow
crow,crow
crow,frog
dog,frog
pouring_water,chainsaw
cat,hen
cat,sneezing
crow,sheep
keyboard_typing,keyboard_typing
crickets,water_drops
crickets,crickets
airplane,wind
airplane,sea_waves
airplane,washing_machine
pouring_water,glass_breaking
crackling_fire,crackling_fire
crackling_fire,crackling_fire
keyboard_typing,can_opening
crickets,crickets
crickets,chirping_birds
crickets,chirping_birds
snoring,thunderstorm
chainsaw,toilet_flush
chainsaw,chainsaw
dog,crow
wind,wind
wind,train
wind,train
brushing_teeth,brushing_teeth
brushing_teeth,brushing_teeth
clapping,clapping
door_wood_knock,glass_breaking
door_wood_knock,fireworks
church_bells,wind
clock_alarm,can_opening
clock_alarm,water_drops
mouse_click,footsteps
clock_tick,can_opening
sea_waves,toilet_flush
sea_waves,sea_waves
sea_waves,clapping
sneezing,sneezing
sneezing,sneezing
brushing_teeth,drinking_sipping
helicopter,rooster
sneezing,dog
glass_breaking,can_opening
glass_breaking,sneezing
clapping,siren
clapping,clapping
sneezing,sneezing
can_opening,keyboard_typing
clapping,clapping
crow,siren
chainsaw,helicopter
keyboard_typing,footsteps
keyboard_typing,mouse_click
keyboard_typing,engine
mouse_click,coughing
clock_alarm,crackling_fire
mouse_click,keyboard_typing
washing_machine,hand_saw
vacuum_cleaner,thunderstorm
dog,sneezing
engine,engine
mouse_click,pig
breathing,car_horn
mouse_click,frog
rooster,sneezing
breathing,crackling_fire
snoring,cow
glass_breaking,sneezing
glass_breaking,sneezing
clock_alarm,keyboard_typing
insects,insects
snoring,snoring
clock_alarm,crow
footsteps,coughing
breathing,dog
footsteps,keyboard_typing
rooster,sneezing
rooster,frog
keyboard_typing,keyboard_typing
engine,vacuum_cleaner
breathing,laughing
door_wood_knock,sneezing
clock_tick,coughing
snoring,drinking_sipping
snoring,water_drops
airplane,helicopter
snoring,pig
can_opening,sneezing
mouse_click,keyboard_typing
frog,chirping_birds
can_opening,pig
washing_machine,wind
breathing,car_horn
mouse_click,can_opening
brushing_teeth,brushing_teeth
engine,washing_machine
water_drops,door_wood_knock
chirping_birds,chirping_birds
chirping_birds,hand_saw
cow,pig
crow,chirping_birds
laughing,drinking_sipping
laughing,hen
footsteps,pig
drinking_sipping,mouse_click
chirping_birds,crow
chirping_birds,crickets
chirping_birds,clock_alarm
chirping_birds,crow
chirping_birds,clock_alarm
drinking_sipping,coughing
engine,keyboard_typing
engine,engine
engine,engine
keyboard_typing,keyboard_typing
footsteps,frog
hen,laughing
hen,frog
hen,laughing
can_opening,water_drops
snoring,snoring
laughing,laughing
mouse_click,water_drops
can_opening,fireworks
washing_machine,cow
hen,hand_saw
hen,hand_saw
hen,hand_saw
snoring,pig
clapping,clapping
door_wood_knock,water_drops
door_wood_knock,clock_tick
hand_saw,thunderstorm
clock_alarm,brushing_teeth
can_opening,clock_tick
door_wood_knock,fireworks
door_wood_knock,door_wood_knock
coughing,coughing
airplane,airplane
airplane,airplane
airplane,thunderstorm
airplane,airplane
can_opening,sneezing
cow,cow
cow,pig
hand_saw,hand_saw
hand_saw,washing_machine
hand_saw,hand_saw
hand_saw,crying_baby
hand_saw,vacuum_cleaner
hand_saw,rain
hand_saw,hand_saw
laughing,coughing
clapping,clapping
water_drops,drinking_sipping
water_drops,water_drops
cat,laughing
door_wood_knock,engine
water_drops,clock_alarm
glass_breaking,clock_tick
chirping_birds,crow
cat,washing_machine
water_drops,mouse_click
laughing,keyboard_typing
drinking_sipping,sneezing
can_opening,coughing
breathing,wind
glass_breaking,glass_breaking
glass_breaking,coughing
glass_breaking,coughing
washing_machine,helicopter
crow,frog
water_drops,coughing
water_drops,laughing
breathing,cow
water_drops,crackling_fire
clapping,chirping_birds
footsteps,crow
footsteps,clock_tick
footsteps,clock_alarm
laughing,laughing
laughing,laughing
hen,cat
hen,frog
vacuum_cleaner,vacuum_cleaner
footsteps,footsteps
sheep,cow
dog,clapping
