GT,prediction
backward,zero
backward,one
backward,one
backward,nine
backward,nine
backward,yes
backward,right
backward,stop
backward,right
backward,eight
backward,seven
backward,two
backward,backward
backward,eight
backward,backward
backward,backward
backward,backward
backward,backward
backward,eight
backward,backward
backward,backward
backward,left
backward,on
backward,down
backward,three
backward,on
backward,stop
backward,six
backward,zero
backward,zero
backward,zero
backward,up
backward,seven
backward,go
backward,yes
backward,seven
backward,seven
backward,zero
backward,learn
backward,stop
backward,off
backward,up
backward,two
backward,up
backward,go
backward,up
backward,eight
backward,off
backward,six
backward,backward
backward,backward
backward,six
backward,eight
backward,nine
backward,forward
backward,bird
backward,marvin
backward,backward
backward,left
backward,yes
backward,up
backward,down
backward,nine
backward,backward
backward,nine
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,one
backward,two
backward,three
backward,backward
backward,eight
backward,stop
backward,stop
backward,off
backward,backward
backward,stop
backward,right
backward,eight
backward,left
backward,yes
backward,backward
backward,left
backward,backward
backward,left
backward,backward
backward,stop
backward,left
backward,zero
backward,left
backward,nine
backward,left
backward,up
backward,visual
backward,eight
backward,backward
backward,backward
backward,backward
backward,eight
backward,backward
backward,backward
backward,eight
backward,visual
backward,backward
backward,seven
backward,backward
backward,stop
backward,backward
backward,right
backward,no
backward,two
backward,eight
backward,backward
backward,backward
backward,seven
backward,backward
backward,right
backward,zero
backward,down
backward,visual
backward,seven
backward,seven
backward,seven
backward,six
backward,seven
backward,five
backward,seven
backward,seven
backward,zero
backward,one
backward,seven
backward,zero
backward,down
backward,forward
backward,down
backward,backward
backward,left
backward,eight
backward,left
backward,backward
backward,backward
backward,backward
backward,off
backward,up
backward,backward
backward,up
backward,backward
backward,backward
backward,backward
backward,seven
backward,stop
backward,up
backward,seven
backward,right
backward,backward
backward,backward
backward,zero
backward,backward
backward,backward
bed,wow
bed,yes
bed,bird
bed,on
bed,go
bed,seven
bed,seven
bed,eight
bed,seven
bed,cat
bed,two
bed,up
bed,one
bed,bed
bed,yes
bed,bird
bed,bird
bed,up
bed,seven
bed,up
bed,stop
bed,zero
bed,stop
bed,zero
bed,eight
bed,cat
bed,off
bed,up
bed,seven
bed,on
bed,one
bed,right
bed,up
bed,go
bed,up
bed,two
bed,go
bed,eight
bed,up
bed,two
bed,left
bed,sheila
bed,tree
bed,up
bed,up
bed,two
bed,two
bed,stop
bed,dog
bed,dog
bed,tree
bed,zero
bed,one
bed,go
bed,go
bed,up
bed,go
bed,on
bed,stop
bed,one
bed,six
bed,tree
bed,cat
bed,seven
bed,six
bed,cat
bed,stop
bed,stop
bed,off
bed,bed
bed,nine
bed,stop
bed,nine
bed,three
bed,go
bed,go
bed,go
bed,on
bed,go
bed,no
bed,marvin
bed,two
bed,eight
bed,zero
bed,four
bed,on
bed,go
bed,zero
bed,eight
bed,on
bed,marvin
bed,stop
bed,off
bed,on
bed,on
bed,no
bed,two
bed,bed
bed,eight
bed,six
bed,eight
bed,eight
bed,up
bed,down
bed,up
bed,eight
bed,one
bed,bird
bed,up
bed,go
bed,eight
bed,up
bed,seven
bed,down
bed,yes
bed,stop
bed,eight
bed,dog
bed,one
bed,on
bed,four
bed,tree
bed,up
bed,marvin
bed,bird
bed,bird
bed,yes
bed,up
bed,one
bed,nine
bed,nine
bed,zero
bed,six
bed,bed
bed,zero
bed,off
bed,bird
bed,stop
bed,up
bed,zero
bed,zero
bed,left
bed,stop
bed,nine
bed,left
bed,marvin
bed,yes
bed,bird
bed,marvin
bed,marvin
bed,right
bed,up
bed,on
bed,up
bed,eight
bed,four
bed,bird
bed,bed
bed,dog
bed,off
bed,down
bed,go
bed,up
bed,down
bed,four
bed,down
bed,down
bed,bed
bed,five
bed,four
bed,dog
bed,off
bed,left
bed,tree
bed,five
bed,down
bed,eight
bed,eight
bed,down
bed,down
bed,five
bed,up
bed,two
bed,up
bed,up
bed,left
bed,yes
bed,no
bed,one
bed,one
bed,three
bed,eight
bed,two
bed,eight
bed,bed
bed,two
bed,nine
bed,eight
bed,one
bed,no
bed,wow
bed,go
bed,eight
bed,go
bed,up
bed,two
bed,up
bird,nine
bird,eight
bird,wow
bird,left
bird,no
bird,marvin
bird,go
bird,bird
bird,seven
bird,bird
bird,one
bird,down
bird,cat
bird,one
bird,tree
bird,yes
bird,nine
bird,bird
bird,bird
bird,six
bird,no
bird,off
bird,right
bird,right
bird,four
bird,on
bird,bird
bird,seven
bird,bird
bird,no
bird,bed
bird,bird
bird,one
bird,house
bird,house
bird,wow
bird,five
bird,marvin
bird,nine
bird,nine
bird,up
bird,go
bird,go
bird,up
bird,nine
bird,up
bird,two
bird,yes
bird,eight
bird,three
bird,down
bird,eight
bird,two
bird,two
bird,eight
bird,house
bird,yes
bird,four
bird,happy
bird,eight
bird,bed
bird,left
bird,seven
bird,on
bird,forward
bird,down
bird,down
bird,stop
bird,two
bird,backward
bird,go
bird,five
bird,one
bird,eight
bird,one
bird,five
bird,five
bird,five
bird,bird
bird,bird
bird,two
bird,one
bird,two
bird,one
bird,bird
bird,one
