GT,prediction
bass,guitar
keyboard,keyboard
guitar,keyboard
reed,reed
flute,flute
string,string
vocal,vocal
brass,bass
guitar,bass
string,string
bass,bass
keyboard,keyboard
keyboard,keyboard
bass,guitar
mallet,mallet
guitar,bass
flute,flute
guitar,guitar
organ,organ
organ,organ
organ,organ
bass,bass
bass,bass
keyboard,keyboard
guitar,guitar
bass,bass
keyboard,keyboard
guitar,guitar
bass,bass
guitar,keyboard
mallet,mallet
bass,bass
bass,bass
flute,flute
reed,reed
organ,organ
organ,organ
bass,keyboard
reed,reed
guitar,bass
guitar,guitar
organ,organ
bass,guitar
bass,bass
keyboard,keyboard
keyboard,keyboard
reed,reed
bass,bass
flute,flute
bass,bass
guitar,guitar
bass,bass
keyboard,keyboard
guitar,mallet
guitar,bass
keyboard,keyboard
keyboard,keyboard
organ,organ
keyboard,keyboard
bass,bass
organ,organ
organ,bass
flute,flute
guitar,keyboard
keyboard,bass
guitar,guitar
bass,mallet
organ,organ
guitar,bass
mallet,mallet
bass,bass
guitar,bass
keyboard,keyboard
bass,bass
keyboard,keyboard
organ,organ
keyboard,keyboard
reed,reed
keyboard,keyboard
keyboard,keyboard
guitar,guitar
string,string
reed,brass
vocal,vocal
bass,bass
bass,bass
flute,flute
bass,bass
organ,vocal
keyboard,guitar
bass,bass
flute,flute
guitar,keyboard
organ,organ
string,string
guitar,guitar
bass,bass
organ,vocal
flute,flute
keyboard,keyboard
string,string
brass,brass
mallet,mallet
organ,vocal
reed,reed
organ,organ
mallet,mallet
keyboard,bass
organ,vocal
keyboard,guitar
keyboard,bass
flute,flute
keyboard,keyboard
vocal,vocal
guitar,keyboard
bass,bass
bass,bass
organ,vocal
guitar,bass
keyboard,bass
flute,mallet
keyboard,keyboard
guitar,guitar
brass,brass
guitar,guitar
brass,bass
keyboard,keyboard
guitar,bass
guitar,keyboard
keyboard,keyboard
bass,bass
bass,bass
organ,vocal
reed,reed
keyboard,keyboard
brass,brass
bass,bass
keyboard,bass
keyboard,keyboard
bass,keyboard
bass,bass
organ,bass
organ,vocal
organ,organ
guitar,bass
vocal,vocal
brass,brass
vocal,vocal
keyboard,keyboard
keyboard,keyboard
keyboard,keyboard
organ,organ
guitar,guitar
organ,organ
keyboard,keyboard
organ,vocal
keyboard,keyboard
bass,bass
guitar,keyboard
keyboard,bass
bass,bass
bass,bass
brass,brass
organ,organ
keyboard,keyboard
guitar,guitar
vocal,vocal
guitar,guitar
bass,bass
bass,bass
guitar,bass
brass,brass
bass,bass
string,string
guitar,keyboard
brass,brass
organ,organ
mallet,mallet
string,string
guitar,guitar
brass,brass
brass,brass
bass,mallet
keyboard,keyboard
bass,bass
guitar,keyboard
guitar,keyboard
organ,bass
vocal,vocal
string,string
keyboard,guitar
guitar,guitar
organ,organ
keyboard,keyboard
bass,bass
reed,reed
brass,brass
organ,mallet
guitar,guitar
bass,bass
keyboard,keyboard
mallet,mallet
organ,organ
flute,flute
string,string
reed,reed
organ,organ
guitar,keyboard
string,string
keyboard,keyboard
organ,organ
mallet,mallet
guitar,guitar
keyboard,keyboard
organ,organ
bass,bass
keyboard,bass
flute,flute
guitar,guitar
brass,brass
bass,bass
bass,keyboard
keyboard,keyboard
vocal,vocal
brass,bass
organ,bass
string,string
flute,reed
keyboard,bass
keyboard,keyboard
bass,keyboard
reed,reed
bass,keyboard
bass,bass
reed,reed
bass,bass
keyboard,keyboard
guitar,guitar
keyboard,synth_lead
keyboard,guitar
keyboard,keyboard
guitar,keyboard
keyboard,keyboard
bass,bass
mallet,mallet
organ,organ
guitar,guitar
bass,bass
keyboard,keyboard
guitar,bass
keyboard,keyboard
keyboard,keyboard
bass,bass
organ,reed
flute,flute
organ,vocal
keyboard,keyboard
keyboard,keyboard
reed,reed
keyboard,keyboard
keyboard,keyboard
vocal,vocal
keyboard,keyboard
bass,guitar
organ,organ
mallet,mallet
flute,flute
bass,bass
brass,guitar
vocal,vocal
bass,bass
organ,vocal
bass,guitar
keyboard,keyboard
keyboard,keyboard
brass,guitar
guitar,bass
organ,mallet
organ,organ
keyboard,keyboard
flute,flute
organ,organ
organ,bass
mallet,mallet
reed,reed
mallet,mallet
vocal,vocal
organ,organ
keyboard,keyboard
guitar,guitar
bass,guitar
flute,flute
string,string
vocal,vocal
bass,bass
keyboard,string
keyboard,keyboard
keyboard,mallet
brass,brass
string,string
reed,reed
bass,bass
reed,reed
flute,flute
guitar,guitar
bass,bass
guitar,guitar
keyboard,keyboard
bass,bass
keyboard,keyboard
bass,bass
keyboard,keyboard
mallet,guitar
bass,bass
brass,keyboard
bass,bass
brass,brass
bass,bass
guitar,guitar
bass,bass
reed,reed
bass,bass
guitar,keyboard
reed,reed
organ,organ
bass,bass
guitar,synth_lead
bass,bass
organ,organ
bass,keyboard
organ,organ
string,string
flute,mallet
bass,bass
guitar,guitar
organ,organ
mallet,mallet
keyboard,keyboard
guitar,keyboard
string,string
string,string
bass,guitar
keyboard,keyboard
keyboard,keyboard
bass,keyboard
bass,guitar
mallet,mallet
organ,organ
reed,brass
reed,reed
keyboard,keyboard
keyboard,synth_lead
flute,flute
bass,keyboard
flute,flute
keyboard,keyboard
reed,reed
keyboard,keyboard
keyboard,keyboard
reed,reed
string,string
bass,bass
keyboard,keyboard
bass,bass
guitar,keyboard
vocal,vocal
guitar,guitar
flute,flute
reed,brass
organ,organ
organ,vocal
keyboard,guitar
mallet,keyboard
flute,flute
keyboard,keyboard
flute,flute
keyboard,keyboard
reed,reed
reed,reed
keyboard,keyboard
guitar,guitar
keyboard,keyboard
organ,organ
guitar,keyboard
string,string
brass,brass
organ,vocal
string,bass
bass,bass
bass,bass
guitar,guitar
keyboard,keyboard
guitar,guitar
keyboard,keyboard
keyboard,keyboard
brass,string
keyboard,bass
mallet,mallet
organ,organ
keyboard,keyboard
keyboard,keyboard
organ,organ
organ,organ
keyboard,bass
bass,bass
guitar,bass
organ,string
guitar,keyboard
flute,string
bass,bass
flute,reed
bass,bass
organ,vocal
guitar,keyboard
guitar,bass
bass,keyboard
brass,string
flute,reed
keyboard,keyboard
reed,reed
guitar,keyboard
brass,brass
bass,keyboard
bass,bass
string,string
keyboard,keyboard
brass,brass
guitar,mallet
keyboard,keyboard
bass,keyboard
brass,brass
bass,bass
vocal,vocal
organ,bass
guitar,guitar
guitar,keyboard
organ,reed
bass,guitar
guitar,mallet
organ,organ
flute,reed
guitar,guitar
keyboard,keyboard
guitar,guitar
keyboard,keyboard
keyboard,keyboard
vocal,vocal
reed,reed
bass,bass
keyboard,keyboard
bass,bass
string,string
string,string
bass,bass
organ,organ
guitar,guitar
guitar,keyboard
mallet,mallet
guitar,guitar
bass,guitar
vocal,vocal
brass,bass
bass,bass
brass,brass
string,string
bass,bass
bass,bass
brass,brass
flute,mallet
brass,bass
mallet,mallet
organ,organ
guitar,guitar
keyboard,keyboard
string,string
organ,organ
bass,bass
reed,reed
mallet,mallet
bass,bass
brass,brass
string,string
brass,brass
string,string
reed,brass
bass,bass
brass,bass
organ,vocal
keyboard,keyboard
brass,brass
flute,flute
organ,vocal
keyboard,bass
brass,brass
bass,bass
string,string
mallet,mallet
string,string
string,guitar
string,string
organ,organ
guitar,keyboard
reed,reed
keyboard,keyboard
string,string
guitar,guitar
guitar,keyboard
bass,guitar
keyboard,guitar
mallet,mallet
flute,flute
bass,bass
guitar,keyboard
flute,flute
keyboard,guitar
brass,brass
guitar,keyboard
vocal,vocal
bass,keyboard
bass,bass
keyboard,keyboard
guitar,bass
bass,guitar
string,string
vocal,vocal
flute,flute
brass,bass
string,string
reed,reed
guitar,keyboard
string,string
guitar,bass
brass,brass
bass,bass
reed,reed
bass,bass
guitar,guitar
string,string
organ,string
brass,guitar
guitar,guitar
guitar,mallet
reed,reed
organ,organ
guitar,guitar
