GT,prediction
ANG,ANG
DIS,NEU
FEA,HAP
HAP,HAP
NEU,HAP
SAD,NEU
ANG,ANG
ANG,FEA
ANG,NEU
DIS,HAP
DIS,HAP
DIS,HAP
FEA,HAP
FEA,HAP
FEA,HAP
HAP,ANG
HAP,HAP
HAP,HAP
NEU,NEU
SAD,NEU
SAD,FEA
SAD,NEU
ANG,FEA
DIS,SAD
FEA,ANG
HAP,HAP
NEU,FEA
SAD,NEU
ANG,ANG
DIS,NEU
FEA,ANG
HAP,FEA
NEU,DIS
SAD,SAD
ANG,ANG
DIS,HAP
FEA,HAP
HAP,HAP
NEU,HAP
SAD,SAD
ANG,ANG
DIS,SAD
FEA,HAP
HAP,HAP
NEU,DIS
SAD,SAD
ANG,HAP
DIS,NEU
FEA,HAP
HAP,HAP
NEU,NEU
SAD,NEU
ANG,ANG
DIS,NEU
FEA,HAP
HAP,ANG
NEU,NEU
SAD,SAD
ANG,HAP
DIS,HAP
FEA,HAP
HAP,HAP
NEU,DIS
SAD,SAD
ANG,NEU
DIS,HAP
FEA,HAP
HAP,HAP
NEU,SAD
SAD,SAD
ANG,ANG
DIS,HAP
FEA,FEA
HAP,HAP
NEU,FEA
SAD,FEA
ANG,ANG
DIS,SAD
FEA,ANG
HAP,ANG
NEU,ANG
SAD,NEU
ANG,ANG
DIS,DIS
FEA,FEA
HAP,ANG
NEU,SAD
SAD,FEA
ANG,ANG
ANG,FEA
ANG,ANG
DIS,SAD
DIS,SAD
DIS,DIS
FEA,SAD
FEA,SAD
FEA,SAD
HAP,ANG
HAP,SAD
HAP,HAP
NEU,SAD
SAD,FEA
SAD,SAD
SAD,SAD
ANG,ANG
DIS,SAD
FEA,SAD
HAP,NEU
NEU,SAD
SAD,SAD
ANG,ANG
DIS,DIS
FEA,SAD
HAP,SAD
NEU,DIS
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,SAD
NEU,NEU
SAD,SAD
ANG,ANG
DIS,HAP
FEA,FEA
HAP,DIS
NEU,NEU
SAD,DIS
ANG,HAP
DIS,DIS
FEA,FEA
HAP,SAD
NEU,DIS
SAD,SAD
ANG,ANG
DIS,SAD
FEA,FEA
HAP,SAD
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,FEA
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,SAD
HAP,ANG
NEU,SAD
SAD,SAD
ANG,ANG
DIS,DIS
FEA,DIS
HAP,SAD
NEU,NEU
SAD,SAD
ANG,ANG
DIS,DIS
FEA,FEA
HAP,ANG
NEU,ANG
SAD,FEA
ANG,NEU
DIS,SAD
FEA,NEU
HAP,HAP
NEU,ANG
SAD,NEU
ANG,ANG
ANG,ANG
ANG,FEA
DIS,DIS
DIS,SAD
DIS,SAD
FEA,SAD
FEA,SAD
FEA,SAD
HAP,HAP
HAP,SAD
HAP,SAD
NEU,NEU
SAD,SAD
SAD,SAD
SAD,SAD
ANG,DIS
DIS,DIS
FEA,SAD
HAP,SAD
NEU,NEU
SAD,SAD
ANG,DIS
DIS,DIS
FEA,SAD
HAP,NEU
NEU,NEU
SAD,NEU
ANG,SAD
DIS,SAD
FEA,NEU
HAP,NEU
NEU,NEU
SAD,SAD
ANG,NEU
DIS,SAD
FEA,NEU
HAP,NEU
NEU,NEU
SAD,NEU
ANG,NEU
DIS,SAD
HAP,HAP
NEU,NEU
SAD,SAD
ANG,ANG
DIS,SAD
FEA,SAD
HAP,NEU
NEU,NEU
SAD,SAD
ANG,NEU
DIS,DIS
FEA,NEU
HAP,NEU
NEU,NEU
SAD,DIS
ANG,SAD
DIS,DIS
FEA,DIS
HAP,NEU
NEU,SAD
SAD,SAD
ANG,DIS
DIS,DIS
FEA,HAP
HAP,HAP
NEU,HAP
SAD,SAD
ANG,ANG
DIS,HAP
FEA,FEA
HAP,ANG
NEU,NEU
SAD,NEU
ANG,ANG
DIS,NEU
FEA,NEU
HAP,NEU
NEU,NEU
SAD,SAD
ANG,ANG
ANG,NEU
ANG,ANG
DIS,ANG
DIS,SAD
DIS,ANG
FEA,FEA
FEA,FEA
FEA,DIS
HAP,ANG
HAP,HAP
HAP,NEU
NEU,NEU
