GT,prediction
blues,rock
blues,blues
blues,jazz
blues,hiphop
blues,reggae
blues,blues
blues,classical
blues,classical
blues,reggae
blues,rock
blues,jazz
blues,jazz
blues,metal
blues,country
blues,jazz
blues,jazz
blues,disco
blues,blues
blues,jazz
blues,pop
blues,disco
blues,jazz
blues,jazz
blues,disco
blues,disco
blues,reggae
blues,jazz
blues,disco
blues,country
blues,reggae
blues,classical
classical,metal
classical,classical
classical,classical
classical,classical
classical,reggae
classical,rock
classical,reggae
classical,classical
classical,classical
classical,classical
classical,country
classical,classical
classical,classical
classical,classical
classical,jazz
classical,country
classical,classical
classical,classical
classical,blues
classical,jazz
classical,disco
classical,classical
classical,classical
classical,metal
classical,classical
classical,metal
classical,metal
classical,disco
classical,classical
classical,classical
classical,classical
country,blues
country,jazz
country,metal
country,blues
country,metal
country,metal
country,rock
country,country
country,classical
country,disco
country,classical
country,reggae
country,country
country,jazz
country,hiphop
country,hiphop
country,disco
country,hiphop
country,rock
country,rock
country,disco
country,country
country,jazz
country,country
country,country
country,classical
country,metal
country,country
country,reggae
country,disco
disco,rock
disco,disco
disco,blues
disco,jazz
disco,disco
disco,metal
disco,metal
disco,blues
disco,pop
disco,disco
disco,metal
disco,disco
disco,blues
disco,blues
disco,country
disco,disco
disco,blues
disco,hiphop
disco,pop
disco,blues
disco,blues
disco,disco
disco,pop
disco,country
disco,rock
disco,metal
disco,disco
disco,rock
disco,blues
hiphop,disco
hiphop,hiphop
hiphop,country
hiphop,jazz
hiphop,hiphop
hiphop,hiphop
hiphop,pop
hiphop,hiphop
hiphop,pop
hiphop,classical
hiphop,disco
hiphop,metal
hiphop,reggae
hiphop,hiphop
hiphop,hiphop
hiphop,country
hiphop,hiphop
hiphop,hiphop
hiphop,reggae
hiphop,blues
hiphop,hiphop
hiphop,hiphop
hiphop,country
hiphop,blues
hiphop,blues
hiphop,reggae
hiphop,metal
jazz,jazz
jazz,jazz
jazz,jazz
jazz,jazz
jazz,disco
jazz,jazz
jazz,jazz
jazz,rock
jazz,country
jazz,disco
jazz,country
jazz,jazz
jazz,disco
jazz,disco
jazz,jazz
jazz,disco
jazz,country
jazz,jazz
jazz,jazz
jazz,classical
jazz,disco
jazz,classical
jazz,jazz
jazz,jazz
jazz,classical
jazz,country
jazz,country
metal,metal
metal,disco
metal,metal
metal,rock
metal,metal
metal,metal
metal,jazz
metal,blues
metal,metal
metal,metal
metal,rock
metal,metal
metal,country
metal,rock
metal,metal
metal,rock
metal,jazz
metal,rock
metal,disco
metal,metal
metal,metal
metal,disco
metal,metal
metal,hiphop
metal,rock
metal,metal
metal,metal
pop,reggae
pop,rock
pop,country
pop,rock
pop,metal
pop,rock
pop,metal
pop,hiphop
pop,blues
pop,disco
pop,reggae
pop,disco
pop,hiphop
pop,reggae
pop,reggae
pop,disco
pop,reggae
pop,pop
pop,pop
pop,blues
pop,metal
pop,reggae
pop,disco
pop,rock
pop,pop
pop,pop
pop,classical
pop,classical
pop,blues
pop,pop
reggae,rock
reggae,disco
reggae,reggae
reggae,reggae
reggae,reggae
reggae,blues
reggae,jazz
reggae,country
reggae,metal
reggae,country
reggae,hiphop
reggae,country
reggae,country
reggae,reggae
reggae,pop
reggae,hiphop
reggae,reggae
reggae,jazz
reggae,disco
reggae,pop
reggae,classical
reggae,blues
reggae,metal
reggae,disco
reggae,hiphop
reggae,hiphop
rock,blues
rock,disco
rock,rock
rock,hiphop
rock,jazz
rock,metal
rock,pop
rock,metal
rock,classical
rock,pop
rock,rock
rock,reggae
rock,country
rock,country
rock,metal
rock,country
rock,country
rock,metal
rock,rock
rock,hiphop
rock,metal
rock,rock
rock,classical
rock,classical
rock,disco
rock,jazz
rock,country
rock,jazz
rock,rock
rock,hiphop
rock,metal
rock,blues
