GT,prediction
de,en
de,en
de,en
de,en
de,fr
de,fr
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,fr
de,en
de,en
de,fr
de,es
de,fr
de,en
de,en
de,en
de,fr
de,en
de,en
de,en
de,en
de,en
de,en
de,de
de,en
de,en
de,en
de,en
de,es
de,en
de,en
de,en
de,es
de,en
de,fr
de,fr
de,fr
de,fr
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,en
de,de
de,de
de,de
de,en
de,fr
de,de
de,fr
de,de
de,de
de,en
de,it
de,en
de,en
de,de
de,en
de,en
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,es
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,fr
de,de
de,de
de,de
de,de
de,de
de,es
de,de
de,fr
de,de
de,de
de,de
de,de
de,es
de,de
de,es
de,de
de,de
de,de
de,de
de,de
de,es
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,en
de,de
de,en
de,en
de,de
de,en
de,en
de,en
de,en
de,en
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
de,de
