GT,prediction
pig,cow
pig,coughing
pig,coughing
pig,mouse_click
pig,pig
pig,snoring
siren,chainsaw
siren,crying_baby
siren,toilet_flush
pig,cow
wind,wind
pig,washing_machine
siren,siren
siren,fireworks
washing_machine,washing_machine
brushing_teeth,frog
siren,train
crying_baby,crying_baby
frog,hen
frog,car_horn
frog,car_horn
frog,frog
toilet_flush,toilet_flush
thunderstorm,toilet_flush
thunderstorm,thunderstorm
thunderstorm,thunderstorm
thunderstorm,crackling_fire
thunderstorm,fireworks
wind,engine
wind,engine
siren,siren
fireworks,toilet_flush
fireworks,engine
fireworks,thunderstorm
fireworks,brushing_teeth
fireworks,toilet_flush
fireworks,washing_machine
fireworks,washing_machine
fireworks,thunderstorm
door_wood_creaks,snoring
door_wood_creaks,washing_machine
cat,car_horn
chainsaw,sheep
chainsaw,cow
laughing,cow
chainsaw,glass_breaking
cat,clock_alarm
cat,cat
door_wood_creaks,crow
toilet_flush,toilet_flush
cat,crying_baby
door_wood_creaks,sneezing
helicopter,washing_machine
helicopter,car_horn
helicopter,airplane
helicopter,wind
helicopter,washing_machine
coughing,coughing
church_bells,siren
wind,frog
wind,siren
car_horn,siren
car_horn,siren
car_horn,siren
car_horn,car_horn
car_horn,hen
car_horn,car_horn
car_horn,car_horn
car_horn,frog
brushing_teeth,brushing_teeth
door_wood_creaks,coughing
rain,vacuum_cleaner
washing_machine,toilet_flush
vacuum_cleaner,sea_waves
vacuum_cleaner,vacuum_cleaner
vacuum_cleaner,washing_machine
toilet_flush,toilet_flush
siren,brushing_teeth
coughing,rooster
brushing_teeth,crackling_fire
chainsaw,toilet_flush
chainsaw,chainsaw
toilet_flush,toilet_flush
crackling_fire,frog
frog,frog
frog,frog
door_wood_creaks,crying_baby
sneezing,rooster
vacuum_cleaner,vacuum_cleaner
thunderstorm,thunderstorm
door_wood_creaks,sneezing
rain,rain
church_bells,church_bells
train,vacuum_cleaner
train,siren
crackling_fire,crackling_fire
crackling_fire,clock_tick
frog,brushing_teeth
helicopter,helicopter
door_wood_creaks,door_wood_creaks
thunderstorm,thunderstorm
rain,sea_waves
crackling_fire,toilet_flush
crackling_fire,chirping_birds
sneezing,brushing_teeth
rain,engine
cow,sneezing
cow,sneezing
cow,sneezing
cow,sneezing
rooster,rooster
rooster,crying_baby
insects,insects
insects,insects
insects,cow
thunderstorm,thunderstorm
rain,rain
train,door_wood_creaks
train,brushing_teeth
train,train
insects,vacuum_cleaner
toilet_flush,pig
church_bells,engine
insects,vacuum_cleaner
insects,insects
insects,vacuum_cleaner
rain,rain
church_bells,train
crying_baby,door_wood_knock
crying_baby,siren
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,crying_baby
crying_baby,frog
train,train
sheep,thunderstorm
sheep,sheep
sheep,crying_baby
sheep,crying_baby
train,wind
train,train
sheep,pig
sheep,airplane
sheep,insects
rooster,toilet_flush
rooster,crickets
rooster,rooster
sea_waves,sea_waves
sea_waves,sea_waves
church_bells,church_bells
church_bells,church_bells
clock_tick,hand_saw
sneezing,water_drops
toilet_flush,toilet_flush
toilet_flush,toilet_flush
sneezing,toilet_flush
toilet_flush,toilet_flush
cow,vacuum_cleaner
rain,siren
dog,crying_baby
dog,crying_baby
rain,rain
drinking_sipping,crying_baby
crickets,clock_alarm
crickets,clock_alarm
coughing,coughing
church_bells,church_bells
keyboard_typing,thunderstorm
pouring_water,toilet_flush
pouring_water,crow
helicopter,engine
coughing,coughing
pouring_water,rooster
washing_machine,washing_machine
washing_machine,washing_machine
drinking_sipping,drinking_sipping
drinking_sipping,door_wood_knock
drinking_sipping,brushing_teeth
drinking_sipping,door_wood_knock
dog,dog
clock_tick,toilet_flush
coughing,coughing
sea_waves,sea_waves
sea_waves,sea_waves
clock_tick,toilet_flush
coughing,coughing
clock_tick,clock_alarm
clapping,hen
engine,engine
engine,engine
crickets,crow
clock_tick,water_drops
clock_alarm,door_wood_creaks
coughing,coughing
clock_alarm,church_bells
brushing_teeth,brushing_teeth
vacuum_cleaner,toilet_flush
vacuum_cleaner,toilet_flush
clock_tick,clock_tick
dog,crying_baby
pouring_water,toilet_flush
pouring_water,pouring_water
pouring_water,toilet_flush
sea_waves,crackling_fire
breathing,brushing_teeth
crackling_fire,crackling_fire
crow,frog
crow,frog
crow,rain
crow,frog
dog,siren
pouring_water,crying_baby
cat,crying_baby
cat,sneezing
crow,hen
keyboard_typing,mouse_click
crickets,crickets
crickets,crickets
airplane,wind
airplane,sea_waves
airplane,train
pouring_water,rooster
crackling_fire,crackling_fire
crackling_fire,wind
keyboard_typing,frog
crickets,crickets
crickets,chirping_birds
crickets,crickets
snoring,sneezing
chainsaw,toilet_flush
chainsaw,engine
dog,chirping_birds
wind,wind
wind,wind
wind,wind
brushing_teeth,brushing_teeth
brushing_teeth,brushing_teeth
clapping,drinking_sipping
door_wood_knock,coughing
door_wood_knock,coughing
church_bells,church_bells
clock_alarm,frog
clock_alarm,frog
mouse_click,keyboard_typing
clock_tick,can_opening
sea_waves,toilet_flush
sea_waves,sea_waves
sea_waves,clapping
sneezing,sneezing
sneezing,sneezing
brushing_teeth,drinking_sipping
helicopter,breathing
sneezing,toilet_flush
glass_breaking,sneezing
glass_breaking,crying_baby
clapping,siren
clapping,brushing_teeth
sneezing,sneezing
can_opening,brushing_teeth
clapping,hen
crow,siren
chainsaw,engine
keyboard_typing,toilet_flush
keyboard_typing,keyboard_typing
keyboard_typing,keyboard_typing
mouse_click,pig
clock_alarm,mouse_click
mouse_click,brushing_teeth
washing_machine,engine
vacuum_cleaner,clapping
dog,sneezing
engine,engine
mouse_click,pig
breathing,wind
mouse_click,wind
rooster,sneezing
breathing,wind
snoring,cow
glass_breaking,sneezing
glass_breaking,sneezing
clock_alarm,mouse_click
insects,insects
snoring,pig
clock_alarm,crow
footsteps,coughing
breathing,can_opening
footsteps,door_wood_creaks
rooster,sneezing
rooster,siren
keyboard_typing,frog
engine,crickets
breathing,frog
door_wood_knock,breathing
clock_tick,coughing
snoring,sneezing
snoring,thunderstorm
airplane,toilet_flush
snoring,snoring
can_opening,dog
mouse_click,brushing_teeth
frog,frog
can_opening,door_wood_creaks
washing_machine,engine
breathing,drinking_sipping
mouse_click,frog
brushing_teeth,brushing_teeth
engine,engine
water_drops,chirping_birds
chirping_birds,chirping_birds
chirping_birds,sea_waves
cow,coughing
crow,frog
laughing,dog
laughing,door_wood_creaks
footsteps,pig
drinking_sipping,pouring_water
chirping_birds,chirping_birds
chirping_birds,clock_alarm
chirping_birds,clock_alarm
chirping_birds,frog
chirping_birds,clock_alarm
drinking_sipping,coughing
engine,engine
engine,engine
engine,engine
keyboard_typing,keyboard_typing
footsteps,thunderstorm
hen,hen
hen,thunderstorm
hen,hen
can_opening,rooster
snoring,pig
laughing,clapping
mouse_click,clock_tick
can_opening,door_wood_creaks
washing_machine,insects
hen,pig
hen,coughing
hen,hand_saw
snoring,pig
clapping,clapping
door_wood_knock,sneezing
door_wood_knock,thunderstorm
hand_saw,sneezing
clock_alarm,clock_alarm
can_opening,glass_breaking
door_wood_knock,snoring
door_wood_knock,door_wood_knock
coughing,glass_breaking
airplane,airplane
airplane,airplane
airplane,thunderstorm
airplane,airplane
can_opening,sneezing
cow,pig
cow,pig
hand_saw,hand_saw
hand_saw,drinking_sipping
hand_saw,hand_saw
hand_saw,hand_saw
hand_saw,train
hand_saw,hand_saw
hand_saw,hand_saw
laughing,coughing
clapping,clapping
water_drops,frog
water_drops,water_drops
cat,cat
door_wood_knock,keyboard_typing
water_drops,frog
glass_breaking,rooster
chirping_birds,frog
cat,vacuum_cleaner
water_drops,door_wood_knock
laughing,coughing
drinking_sipping,sneezing
can_opening,glass_breaking
breathing,train
glass_breaking,glass_breaking
glass_breaking,glass_breaking
glass_breaking,glass_breaking
washing_machine,helicopter
crow,frog
water_drops,door_wood_creaks
water_drops,crackling_fire
breathing,pig
water_drops,crackling_fire
clapping,clapping
footsteps,crackling_fire
footsteps,crackling_fire
footsteps,brushing_teeth
laughing,coughing
laughing,clapping
hen,car_horn
hen,siren
vacuum_cleaner,vacuum_cleaner
footsteps,coughing
sheep,cow
dog,frog
