GT,prediction
note021,note022
note022,note023
note023,note023
note024,note021
note025,note027
note026,note022
note027,note023
note028,note022
note029,note022
note030,note028
note031,note021
note032,note022
note033,note021
note034,note032
note035,note023
note036,note023
note037,note023
note038,note035
note039,note028
note040,note029
note041,note041
note042,note042
note043,note044
note044,note044
note045,note044
note046,note033
note047,note047
note048,note048
note049,note049
note050,note050
note051,note039
note052,note052
note053,note053
note054,note054
note055,note055
note056,note056
note057,note045
note058,note058
note059,note059
note060,note060
note061,note061
note062,note062
note063,note063
note064,note064
note065,note065
note066,note066
note067,note067
note068,note068
note069,note069
note070,note070
note071,note071
note072,note072
note073,note073
note074,note074
note075,note075
note076,note076
note077,note077
note078,note078
note079,note079
note080,note080
note081,note081
note082,note082
note083,note083
note084,note084
note085,note085
note086,note086
note087,note087
note088,note088
note089,note089
note090,note090
note091,note091
note092,note092
note093,note093
note094,note094
note095,note095
note096,note096
note097,note097
note098,note098
note099,note099
note100,note100
note101,note104
note102,note103
note103,note103
note104,note104
note105,note104
note106,note104
note107,note105
note108,note104
note021,note026
note022,note022
note023,note022
note024,note023
note025,note022
note026,note027
note027,note022
note028,note022
note029,note022
note030,note022
note031,note022
note032,note023
note033,note023
note034,note024
note035,note025
note036,note035
note037,note035
note038,note035
note039,note036
note040,note031
note041,note034
note042,note034
note043,note031
note044,note034
note045,note034
note046,note034
note047,note035
note048,note036
note049,note037
note050,note038
note051,note039
note052,note040
note053,note041
note054,note042
note055,note043
note056,note044
note057,note057
note058,note046
note059,note059
note060,note048
note061,note061
note062,note062
note063,note051
note064,note052
note065,note053
note066,note066
note067,note067
note068,note068
note069,note069
note070,note070
note071,note059
note072,note060
note073,note073
note074,note062
note075,note075
note076,note076
note077,note065
note078,note078
note079,note079
note080,note080
note081,note081
note082,note082
note083,note083
note084,note084
note085,note085
note086,note086
note087,note087
note088,note088
note089,note077
note090,note078
note091,note091
note092,note092
note093,note093
note094,note094
note095,note095
note096,note096
note097,note092
note098,note098
note099,note099
note100,note100
note101,note101
note102,note102
note103,note103
note104,note104
note105,note105
note106,note106
note107,note107
note108,note108
note021,note025
note022,note032
note023,note021
note024,note024
note025,note031
note026,note021
note027,note021
note028,note025
note029,note031
note030,note030
note031,note025
note032,note039
note033,note033
note034,note026
note035,note032
note036,note036
note037,note037
note038,note038
note039,note039
note040,note040
note041,note041
note042,note042
note043,note043
note044,note044
note045,note044
note046,note046
note047,note047
note048,note048
note049,note049
note050,note050
note051,note051
note052,note052
note053,note041
note054,note054
note055,note055
note056,note056
note057,note057
note058,note058
note059,note059
note060,note060
note061,note061
note062,note062
note063,note063
note064,note064
note065,note065
note066,note066
note067,note067
note068,note068
note069,note069
note070,note070
note071,note071
note072,note072
note073,note073
note074,note074
note075,note076
note076,note076
note077,note076
note078,note078
note079,note079
note080,note080
note081,note081
note082,note082
note083,note083
note084,note078
note085,note078
note086,note098
note087,note099
note088,note104
note089,note092
note090,note104
note091,note104
note092,note104
note093,note104
note094,note104
note095,note021
note096,note021
note097,note021
note098,note021
note099,note021
note100,note021
note101,note021
note102,note021
note103,note021
note104,note021
note105,note021
note106,note021
note107,note021
note108,note021
note021,note102
note022,note105
note023,note105
note024,note105
note025,note105
note026,note105
note027,note105
note028,note105
note029,note105
note030,note105
note031,note105
note032,note105
note033,note105
note034,note105
note035,note105
note036,note105
note037,note105
note038,note105
note039,note105
note040,note105
note041,note105
note042,note105
note043,note105
note044,note105
note045,note105
note046,note105
note047,note105
note048,note105
note049,note105
note050,note105
note051,note105
note052,note105
note053,note105
note054,note105
note055,note105
note056,note105
note057,note105
note058,note105
note059,note105
note060,note105
note061,note105
note062,note105
note063,note105
note064,note105
note065,note105
note066,note105
note067,note105
note068,note105
note069,note105
note070,note105
note071,note105
note072,note105
note073,note105
note074,note105
note075,note105
note076,note105
note077,note105
note078,note105
note079,note105
note080,note105
note081,note105
note082,note105
note083,note105
note084,note105
note085,note105
note086,note105
note087,note105
note088,note105
note089,note105
note090,note105
note091,note105
note092,note105
note093,note105
note094,note105
note095,note105
note096,note105
note097,note105
note098,note105
note099,note105
note100,note105
note101,note105
note102,note105
note103,note105
note104,note105
note105,note105
note106,note105
note107,note105
note108,note105
note021,note022
note022,note022
note023,note022
note024,note024
note025,note024
note026,note022
note027,note027
note028,note022
note029,note022
note030,note027
note031,note024
note032,note024
note033,note024
note034,note025
note035,note025
note036,note026
note037,note026
note038,note028
note039,note027
note040,note027
note041,note029
note042,note032
note043,note031
note044,note032
note045,note039
note046,note035
note047,note035
note048,note036
note049,note037
note050,note038
note051,note039
note052,note040
note053,note041
note054,note054
note055,note055
note056,note044
note057,note045
note058,note046
note059,note047
note060,note048
note061,note061
note062,note062
note063,note051
note064,note052
note065,note053
note066,note066
note067,note067
note068,note056
note069,note057
note070,note070
note071,note059
note072,note072
note073,note073
note074,note062
note075,note063
note076,note064
note077,note077
note078,note066
note079,note079
note080,note068
note081,note069
note082,note070
note083,note071
note084,note084
note085,note085
note086,note086
note087,note075
note088,note088
note089,note077
note090,note090
note091,note091
note092,note092
note093,note081
note094,note082
note095,note095
note096,note096
note097,note097
