GT,prediction
pig,pig
pig,coughing
pig,pig
pig,breathing
pig,pig
pig,coughing
siren,chainsaw
siren,chainsaw
siren,toilet_flush
pig,coughing
wind,wind
pig,car_horn
siren,fireworks
siren,thunderstorm
washing_machine,airplane
brushing_teeth,frog
siren,sea_waves
crying_baby,crying_baby
frog,water_drops
frog,crackling_fire
frog,crackling_fire
frog,cat
toilet_flush,toilet_flush
thunderstorm,toilet_flush
thunderstorm,thunderstorm
thunderstorm,thunderstorm
thunderstorm,door_wood_knock
thunderstorm,helicopter
wind,engine
wind,engine
siren,siren
fireworks,rooster
fireworks,keyboard_typing
fireworks,fireworks
fireworks,chainsaw
fireworks,chainsaw
fireworks,chainsaw
fireworks,chainsaw
fireworks,sea_waves
door_wood_creaks,hand_saw
door_wood_creaks,vacuum_cleaner
cat,crackling_fire
chainsaw,cow
chainsaw,chainsaw
laughing,sheep
chainsaw,door_wood_knock
cat,hen
cat,siren
door_wood_creaks,breathing
toilet_flush,toilet_flush
cat,rooster
door_wood_creaks,drinking_sipping
helicopter,crackling_fire
helicopter,wind
helicopter,airplane
helicopter,airplane
helicopter,washing_machine
coughing,coughing
church_bells,church_bells
wind,snoring
wind,rain
car_horn,siren
car_horn,siren
car_horn,siren
car_horn,breathing
car_horn,car_horn
car_horn,siren
car_horn,engine
car_horn,siren
brushing_teeth,brushing_teeth
door_wood_creaks,coughing
rain,vacuum_cleaner
washing_machine,toilet_flush
vacuum_cleaner,sea_waves
vacuum_cleaner,vacuum_cleaner
vacuum_cleaner,vacuum_cleaner
toilet_flush,toilet_flush
siren,hen
coughing,toilet_flush
brushing_teeth,chirping_birds
chainsaw,chainsaw
chainsaw,chainsaw
toilet_flush,toilet_flush
crackling_fire,crackling_fire
frog,crickets
frog,crickets
door_wood_creaks,chainsaw
sneezing,sneezing
vacuum_cleaner,vacuum_cleaner
thunderstorm,thunderstorm
door_wood_creaks,sneezing
rain,rain
church_bells,church_bells
train,train
train,wind
crackling_fire,crackling_fire
crackling_fire,clock_tick
frog,frog
helicopter,train
door_wood_creaks,crying_baby
thunderstorm,thunderstorm
rain,rain
crackling_fire,toilet_flush
crackling_fire,pouring_water
sneezing,sneezing
rain,train
cow,drinking_sipping
cow,sneezing
cow,rooster
cow,clapping
rooster,dog
rooster,crying_baby
insects,cow
insects,cow
insects,cow
thunderstorm,thunderstorm
rain,sea_waves
train,hand_saw
train,train
train,sea_waves
insects,toilet_flush
toilet_flush,pig
church_bells,washing_machine
insects,vacuum_cleaner
insects,insects
insects,fireworks
rain,rain
church_bells,wind
crying_baby,toilet_flush
crying_baby,rooster
crying_baby,laughing
crying_baby,siren
crying_baby,siren
crying_baby,can_opening
crying_baby,frog
train,helicopter
sheep,sheep
sheep,crying_baby
sheep,pouring_water
sheep,sheep
train,wind
train,wind
sheep,cow
sheep,sheep
sheep,laughing
rooster,toilet_flush
rooster,rooster
rooster,rooster
sea_waves,sea_waves
sea_waves,vacuum_cleaner
church_bells,church_bells
church_bells,church_bells
clock_tick,siren
sneezing,glass_breaking
toilet_flush,toilet_flush
toilet_flush,toilet_flush
sneezing,frog
toilet_flush,toilet_flush
cow,breathing
rain,brushing_teeth
dog,crying_baby
dog,crying_baby
rain,rain
drinking_sipping,brushing_teeth
crickets,chirping_birds
crickets,chirping_birds
coughing,coughing
church_bells,church_bells
keyboard_typing,cat
pouring_water,pouring_water
pouring_water,chirping_birds
helicopter,helicopter
coughing,coughing
pouring_water,rooster
washing_machine,airplane
washing_machine,train
drinking_sipping,cat
drinking_sipping,fireworks
drinking_sipping,crying_baby
drinking_sipping,insects
dog,glass_breaking
clock_tick,toilet_flush
coughing,pig
sea_waves,toilet_flush
sea_waves,sea_waves
clock_tick,clock_tick
coughing,coughing
clock_tick,chirping_birds
clapping,pouring_water
engine,engine
engine,helicopter
crickets,chirping_birds
clock_tick,clock_alarm
clock_alarm,hand_saw
coughing,drinking_sipping
clock_alarm,washing_machine
